Misconception,Misconception ID,Topic,Example Number,Question,Incorrect Answer,Correct Answer,Question image,Learner Answer image,Correct Answer image,Source,Explanation
when students neglect to check their solutions or make errors during the checking process,MaE52,Equations and inequalities,1,"Solve for n, check your answer
7-1/2n=18","7-1/2n=18
-1/2n=11
n=22
Checking:
7-1/2·22=18
7+11=18
18=18","n=-22
Checking:
7-1/2(-22)=18
7+11=18",,,,"Perrenet & Wolters, 1994
p. 5",
"When students multiply the numerator of the first fraction by the denominator of the second fraction, they write down only the unit digit of this product and mistakenly save the tens digit for later use, then they multiply the denominator of the first fraction by the numerator of the second one and add the saved tend digit, obtaining an integer number instead of a fraction.",MaE12,Number Operations,2,2/3*4/6=,2/3*4/6=132,4/9,,,,Ashlock (2006),
when students incorrectly add or subtract fractions by summing both numerators and denominators separately,MaE08,Number Operations,4,Subtract 3/5 from 8,8-3/5=(8-3)/(8-5)=5/3,7 2/5,,,,"Brown, G., & Quinn, R. J. (2006)
p. 3","The learner converted 8 into 8/8 and then subtracted the numerators and denominators, incurring in 2 MaEs in this case: 8 and 13"
when students confuse linear and exponential functions' properties and representations.,MaE39,"Patterns, relationships, and functions",4,"Explore growth of paper ballots as they are repeatedly cut in half. If Alejandro makes ten cuts, can you predict how many ballots Alejandro might have? What is your reasoning?",Yes. If you set up an equation like 2x then you put 10 in for x and 2 times 10 equals 20 and find the answer 20. All you have to do is set up the equation,2^n=2^10=1024,,,,"LA Kasmer, OK Kim (2012)
p. 14","As is apparent from this example, the student relied solely on a mathematical calculation [multiplying 2 by 10] to arrive at the response to the prediction question
"
when students confuse linear and exponential functions' properties and representations.,MaE39,"Patterns, relationships, and functions",3,"Determine whether a situation that doubles x amount of times would yield more rubas than adding 5x amount of times and beginning with 20 rubas.
Predict whether this situation will be a better offer for the peasant or the king. How do you know?","Adding 5x will make more, because 5 is bigger than 2 (doubles)","Doubling x will yield more rubas than adding 5x amount, because doubling is exponential and adding 5x is a linear relationship",,,,"LA Kasmer, OK Kim  (2012)
p. 12",
"when students subtract mixed numbers incorrectly, avoiding regrouping and just subtracting the smaller from the larger number",MaE10,Number Operations,1,Solve x+1/3=7,"x+1/3=7
x=7-1/3=6/3=2",x=6 2/3,,,,"Brown, G., & Quinn, R. J.  2006
p. 6","The learner did not find an equivalent fraction for 7 and instead, subtracted 1 from 7 and left the denominator without changing"
"when students simplify just one of the terms in a fraction, either the numerator or the denominator",MaE07,Number Operations,3,Simplify 4/6,4/6=1/6,4/6=2/3,,,,"Ashlock, 2006","The learner simplified the numerator, but not the denominator"
when students struggle to grasp that variables can represent changing or varying quantities,MaE48,"Variables, expressions, and operations",2,What can you say about r if r=s+t and r+s+t=30,r < 30,r=15,,,,"Kuchemann (1978)
p. 5","The learner fails to understand that s + t in the second equation can be replaced with r to solve it, because lacks understanding that variables represent varying quantities"
"when students incorrectly perform operations from left to right, neglecting the proper order of operations",MaE34,Properties of number and operations,4,"Read the following phrase:
""three more than twice n""
Write an expression to represent the phrase
Evaluate the expression you wrote when  n = 31","2n*3
6","2n+3
65",,,,"Bush, 2011
p. 173",
"when students mistakenly add two negative numbers, yielding a positive sum, particularly in equations with variables",MaE32,Properties of number and operations,3,The temperature on a chosen date last year was 5 and the temperature on the corresponding day this year is -3. Write an equation and calculate the change in temperature.,"T2-T1=-3-5=8
The temperature increased 8 degrees.","T2-T1=-3-5=-8
There was a decrease of 8 degrees in the temperature",,,,"Peled & Carraher (2008)
p. 312",
